0.000	-0.358	1.000
0.049	0.406	0.999
0.098	-0.701	0.995
0.147	-0.395	0.989
0.195	0.605	0.981
0.243	0.645	0.970
0.290	-0.516	0.957
0.337	0.819	0.942
0.383	-0.171	0.924
0.428	-0.189	0.904
0.471	-0.033	0.882
0.514	-0.942	0.858
0.556	0.248	0.831
0.596	-0.144	0.803
0.634	0.661	0.773
0.672	-0.459	0.741
0.707	-0.218	0.707
0.741	-0.548	0.672
0.773	-0.454	0.634
0.803	-0.533	0.596
0.831	0.007	0.556
0.858	0.880	0.514
0.882	0.582	0.471
0.904	0.958	0.428
0.924	-0.940	0.383
0.942	-0.577	0.337
0.957	-0.827	0.290
0.970	0.625	0.243
0.981	-0.769	0.195
0.989	-0.390	0.147
0.995	0.012	0.098
0.999	0.571	0.049
1.000	0.810	-0.000
0.999	0.885	-0.049
0.995	-0.227	-0.098
0.989	-0.346	-0.147
0.981	-0.162	-0.195
0.970	0.205	-0.243
0.957	0.145	-0.290
0.942	0.586	-0.337
0.924	0.726	-0.383
0.904	-0.951	-0.428
0.882	0.099	-0.471
0.858	-0.781	-0.514
0.831	-0.077	-0.556
0.803	0.701	-0.596
0.773	0.277	-0.634
0.741	-0.693	-0.672
0.707	-0.508	-0.707
0.672	0.068	-0.741
0.634	0.834	-0.773
0.596	0.093	-0.803
0.556	0.004	-0.831
0.514	-0.361	-0.858
0.471	-0.695	-0.882
0.428	-0.702	-0.904
0.383	0.352	-0.924
0.337	-0.051	-0.942
0.290	0.730	-0.957
0.243	0.159	-0.970
0.195	-0.493	-0.981
0.147	-0.807	-0.989
0.098	-0.339	-0.995
0.049	-0.005	-0.999
0.000	-0.512	-1.000
-0.049	0.252	-0.999
-0.098	0.587	-0.995
-0.147	0.302	-0.989
-0.195	-0.604	-0.981
-0.243	-0.763	-0.970
-0.290	-0.754	-0.957
-0.337	0.055	-0.942
-0.383	-0.413	-0.924
-0.428	0.261	-0.904
-0.471	0.438	-0.882
-0.514	-0.801	-0.858
-0.556	-0.550	-0.831
-0.596	0.057	-0.803
-0.634	0.134	-0.773
-0.672	-0.327	-0.741
-0.707	-0.500	-0.707
-0.741	0.988	-0.672
-0.773	-0.901	-0.634
-0.803	-0.081	-0.596
-0.831	0.070	-0.556
-0.858	-0.455	-0.514
-0.882	0.356	-0.471
-0.904	0.832	-0.428
-0.924	0.908	-0.383
-0.942	-0.964	-0.337
-0.957	-0.963	-0.290
-0.970	0.389	-0.243
-0.981	-0.418	-0.195
-0.989	-0.140	-0.147
-0.995	-0.701	-0.098
-0.999	-0.002	-0.049
-1.000	-0.029	0.000
-0.999	0.578	0.049
-0.995	-0.187	0.098
-0.989	0.438	0.147
-0.981	0.679	0.195
-0.970	0.220	0.243
-0.957	0.335	0.290
-0.942	0.329	0.337
-0.924	-0.711	0.383
-0.904	0.829	0.428
-0.882	-0.771	0.471
-0.858	-0.820	0.514
-0.831	0.786	0.556
-0.803	0.908	0.596
-0.773	-0.830	0.634
-0.741	0.282	0.672
-0.707	-0.179	0.707
-0.672	0.775	0.741
-0.634	-0.297	0.773
-0.596	0.422	0.803
-0.556	0.483	0.831
-0.514	0.574	0.858
-0.471	-0.975	0.882
-0.428	-0.210	0.904
-0.383	0.540	0.924
-0.337	-0.530	0.942
-0.290	0.645	0.957
-0.243	-0.311	0.970
-0.195	0.576	0.981
-0.147	-0.892	0.989
-0.098	-0.612	0.995
-0.049	0.269	0.999
